[09:10:43] device NVIDIA GeForce RTX 2060 SUPER cc (7, 5) SMs 34 L2 4 MiB shared/SM 64 KiB opt-in 64 KiB icache 64 KiB
[09:10:43] backend mlir cubie 0.12.0 cache /home/cca79/orca/workspaces/cubie/landscape-2060/generated
[09:10:46] 50 configurations, 420 kernels to compile
[09:16:09]   compiled chain64/kvaerno5 opt:newton_exits=0 accumulator=local   10.3 s 4954763dd657
[09:16:33]   compiled chain64/kvaerno5 opt:newton_exits=0 accumulator=shared   23.3 s b885035e7607
[09:16:57]   compiled chain64/kvaerno5 plain                              71.6 s a74d1dda27ce
[09:17:05]   compiled chain64/kvaerno5 opt:newton_exits=1 accumulator=local   71.8 s a74d1dda27ce
[09:17:07]   compiled chain64/kvaerno5 opt:newton_exits=1 accumulator=shared   68.1 s 9c9f5880a70e
[09:17:17]   compiled chain64/kvaerno5 n0o0                               20.0 s 048a44ef574d
[09:17:28]   compiled chain64/radau_iia_3 tierA                              22.9 s 9bee9f5885d6
[09:17:36]   compiled chain64/kvaerno5 n1o0                               63.5 s 01bee2a02568
[09:17:43]   compiled chain64/radau_iia_3 plain                              35.9 s 766a40213ab0
[09:17:44]   compiled chain64/radau_iia_3 opt:newton_exits=1 stage_increment=local   27.4 s 766a40213ab0
[09:17:58]   compiled chain64/radau_iia_3 opt:newton_exits=0 stage_increment=local   21.3 s 59f2c41148a8
[09:18:06]   compiled chain64/radau_iia_3 opt:newton_exits=1 stage_increment=shared   37.3 s e96df1072b84
[09:18:06]   compiled chain64/radau_iia_3 opt:newton_exits=0 stage_increment=shared   23.5 s da5c7fc0790e
[09:18:08]   compiled chain64/radau_iia_3 n0o0                               23.8 s 92f3bf4c8175
[09:18:27]   compiled chain64/radau_iia_3 allrolled                          20.5 s b199f9895e40
[09:18:27]   compiled chain64/radau_iia_3 n0o0+stage_increment=shared        21.7 s 64a6f4eebca7
[09:18:31]   compiled chain64/radau_iia_3 n1o0                               33.6 s de258efc7d83
[09:18:47]   compiled chain64/radau_iia_5 tierA                              38.9 s 8d20314b6ee0
[09:19:22]   compiled chain64/radau_iia_5 opt:newton_exits=0 stage_increment=local   35.2 s 7b2178215c3e
[09:19:43]   compiled chain64/radau_iia_5 plain                              76.8 s 8d736a9a1cf2
[09:19:46]   compiled chain64/radau_iia_5 opt:newton_exits=1 stage_increment=local   78.5 s 8d736a9a1cf2
[09:19:49]   compiled chain64/radau_iia_5 opt:newton_exits=1 stage_increment=shared   77.9 s 56e7f53841a9
[09:20:18]   compiled chain64/radau_iia_5 opt:newton_exits=0 stage_increment=shared   39.3 s 771c06d4ba5f
[09:20:22]   compiled chain64/radau_iia_5 n0o0                               39.0 s c7af1002fa28
[09:20:28]   compiled chain64/radau_iia_5 n0o0+stage_increment=shared        38.7 s e3cd67d3f7b0
[09:20:53]   compiled chain64/radau_iia_5 allrolled                          35.2 s 423a6c3fcfe1
[09:21:02]   compiled chain64/radau_iia_5 n1o0                               75.9 s 4b18154f3734
[09:21:04]   compiled chain64/kvaerno3_bicgstab tierA                              24.7 s 45cf11569b11
[09:21:23]   compiled chain64/kvaerno3_bicgstab opt:newton_exits=0 accumulator=local   19.2 s 171aefc7ed1c
[09:21:34]   compiled chain64/kvaerno3_bicgstab plain                              49.8 s 2e223a7be3c3
[09:21:44]   compiled chain64/kvaerno3_bicgstab opt:newton_exits=1 accumulator=local   50.6 s 2e223a7be3c3
[09:21:46]   compiled chain64/kvaerno3_bicgstab opt:newton_exits=1 accumulator=shared   44.3 s 06d5f3c314ba
[09:21:49]   compiled chain64/kvaerno3_bicgstab opt:newton_exits=0 accumulator=shared   25.2 s b9f18a6d275c
[09:22:09]   compiled chain64/kvaerno3_bicgstab n0k0o0                             23.1 s 6a80ff24b0da
[09:22:15]   compiled chain64/kvaerno3_bicgstab n0k1o1                             31.6 s 17778225751f
[09:22:37]   compiled chain64/kvaerno3_bicgstab n1k0o0                             48.5 s 6936f834b368
[09:22:51]   compiled chain64/kvaerno3_bicgstab n1k1o1                             76.6 s bdb7f5843516
[09:23:22]   compiled chain64/radau_iia_5_bicgstab tierA                              67.1 s cecbf15d50c5
[09:23:31]   compiled chain64/radau_iia_5_bicgstab plain                              64.6 s 0a63f3474ff9
[09:23:34]   compiled chain64/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=local   56.5 s 0a63f3474ff9
[09:23:55]   compiled chain64/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=shared   64.3 s 0086d7b17506
[09:24:22]   compiled chain64/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=local   59.3 s ce720e8d5164
[09:24:34]   compiled chain64/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=shared   63.2 s b4cbdc66fb04
[09:24:44]   compiled chain64/radau_iia_5_bicgstab n1k1                               70.6 s ac32270bb788
[09:24:50]   compiled chain64/bogacki-shampine-32 tierA                               5.6 s 0a9efd111312
[09:24:50]   compiled chain64/bogacki-shampine-32 plain                               0.2 s 0a9efd111312
[09:25:03]   compiled chain64/radau_iia_5_bicgstab n0k1                               68.2 s 74fe7d1ddafe
[09:25:03]   compiled chain64/bogacki-shampine-32 opt:other_small=1 state=local       0.2 s 0a9efd111312
[09:25:11]   compiled chain64/bogacki-shampine-32 opt:other_small=1 state=shared      8.0 s ad976bd24e1f
[09:25:12]   compiled chain64/bogacki-shampine-32 opt:other_small=0 state=local       6.0 s b1fda0d24ee3
[09:25:17]   compiled chain64/bogacki-shampine-32 opt:other_small=0 state=shared      5.3 s d9d1a11e0b8f
[09:25:18]   compiled chain64/bogacki-shampine-32 o1+stage_accumulator=shared         6.2 s 9e90a6d1a9d9
[09:25:19]   compiled chain64/radau_iia_5_bicgstab allrolled                          44.8 s 607dbbd3afe1
[09:25:22]   compiled chain64/bogacki-shampine-32 o1+stage_rhs=shared                 5.6 s b579b8c8e01b
[09:25:30]   compiled chain64/radau_iia_5_bicgstab n0k0o0                             68.5 s 1f4d975f5675
[09:25:36]   compiled chain64/vern7 tierA                              18.0 s fad3cb94b0c0
[09:25:36]   compiled chain64/vern7 plain                              17.6 s fad3cb94b0c0
[09:25:45]   compiled chain64/vern7 opt:other_small=1 state=local      14.6 s fad3cb94b0c0
[09:25:51]   compiled chain64/vern7 opt:other_small=1 state=shared     16.5 s 06c4f5ca5109
[09:25:52]   compiled chain64/vern7 opt:other_small=0 state=local      16.6 s 5cbdbc91d8c5
[09:25:53]   compiled chain64/vern7 opt:other_small=0 state=shared     17.0 s 636026d6712d
[09:26:02]   compiled chain64/tsit5 tierA                               8.5 s c09254e777e1
[09:26:02]   compiled chain64/tsit5 plain                               0.2 s c09254e777e1
[09:26:02]   compiled chain64/tsit5 opt:other_small=1 state=local       0.2 s c09254e777e1
[09:26:10]   compiled chain64/vern7 o1+stage_rhs=shared                18.1 s b0a240285b45
[09:26:15]   compiled chain64/tsit5 opt:other_small=1 state=shared      8.8 s 53e86cde6e22
[09:26:17]   compiled chain64/vern7 o1+stage_accumulator=shared        25.8 s c49488e45801
[09:26:19]   compiled chain64/tsit5 opt:other_small=0 state=local       8.7 s fe6741cbd1d4
[09:26:23]   compiled chain64/tsit5 opt:other_small=0 state=shared      8.3 s 8e3672571a3b
[09:26:26]   compiled chain64/tsit5 o1+stage_rhs=shared                 8.4 s 5acb406b3592
[09:26:28]   compiled chain64/tsit5 o1+stage_accumulator=shared        11.5 s d8bef8fc98e0
[09:26:36]   compiled chain64/rosenbrock23 tierA                              16.5 s aa628f26e8db
[09:26:37]   compiled chain64/rosenbrock23 plain                              13.7 s aa628f26e8db
[09:26:40]   compiled chain64/rosenbrock23 opt:other_small=1                  14.3 s aa628f26e8db
[09:26:43]   compiled chain32_c8/kvaerno3 tierA                               7.7 s 5bb9ef1bf95a
[09:26:43]   compiled chain64/rosenbrock23 opt:other_small=0                  15.5 s 4dbda839daca
[09:26:49]   compiled chain32_c8/kvaerno3 plain                              12.3 s 3a9f7a366de4
[09:26:50]   compiled chain32_c8/kvaerno3 opt:newton_exits=1 accumulator=local    9.8 s 3a9f7a366de4
[09:26:55]   compiled chain32_c8/kvaerno3 opt:newton_exits=1 accumulator=shared   11.9 s 2ba2d95b31eb
[09:26:56]   compiled chain32_c8/kvaerno3 opt:newton_exits=0 accumulator=local    6.9 s 38b309107d7f
[09:26:57]   compiled chain32_c8/kvaerno3 opt:newton_exits=0 accumulator=shared    7.9 s d2abcff824b3
[09:27:02]   compiled chain32_c8/kvaerno3 n1o0                               11.8 s 21af5d7a5505
[09:27:03]   compiled chain32_c8/kvaerno3 n0o0                                7.3 s d0ed24e4d185
[09:27:06]   compiled chain32_c8/kvaerno5 tierA                              10.2 s 494e3b0537f8
[09:27:15]   compiled chain32_c8/kvaerno5 opt:newton_exits=0 accumulator=local    8.6 s 551eadac9fbf
[09:27:19]   compiled chain32_c8/kvaerno5 plain                              21.6 s c2590e675103
[09:27:24]   compiled chain32_c8/kvaerno5 opt:newton_exits=1 accumulator=local   22.3 s c2590e675103
[09:27:25]   compiled chain32_c8/kvaerno5 opt:newton_exits=1 accumulator=shared   22.1 s ccb018d79feb
[09:27:25]   compiled chain32_c8/kvaerno5 opt:newton_exits=0 accumulator=shared   10.5 s fe360600642b
